Rank,month1_01,month1_02,month1_03,month1_04,month1_05,month1_06,month1_07,month1_08,month1_09,month1_10
1,2015-01-oko-planet.su_1902,2015-01-topnews.ru_67,2015-01-regnum.ru_2354,2015-01-ria.ru_9370,2015-01-segodnia.ru_365,2015-01-newsru.com_302,2015-01-ria.ru_1308,2015-01-rus.newsru.ua_411,2015-01-ria.ru_561,2015-01-interfax.ru_2649
2,2015-01-inosmi.ru_389,2015-01-regnum.ru_906,2015-01-itar-tass.com_1909,2015-01-ria.ru_5109,2015-01-segodnia.ru_1212,2015-01-ruscur.ru_36,2015-01-rtr-vesti.ru_425,2015-01-rus.newsru.ua_724,2015-01-ria.ru_1480,2015-01-rbc.ru_2355
3,2015-01-oko-planet.su_1899,2015-01-ruscur.ru_257,2015-01-regnum.ru_5366,2015-01-novorus.info_672,2015-01-segodnia.ru_1201,2015-01-ruscur.ru_33,2015-01-itar-tass.com_602,2015-01-rus.newsru.ua_132,2015-01-ria.ru_9299,2015-01-ura.ru_829
4,2015-01-oko-planet.su_1380,2015-01-novayagazeta.ru_167,2015-01-rusplt.ru_4853,2015-01-ria.ru_5291,2015-01-segodnia.ru_1202,2015-01-ruscur.ru_48,2015-01-itar-tass.com_5311,2015-01-newsru.com_1285,2015-01-ria.ru_1604,2015-01-fontanka.ru_2843
5,2015-01-oko-planet.su_1959,2015-01-topnews.ru_174,2015-01-rusplt.ru_7157,2015-01-ria.ru_986,2015-01-segodnia.ru_1203,2015-01-ruscur.ru_37,2015-01-rtr-vesti.ru_502,2015-01-rus.newsru.ua_112,2015-01-ria.ru_161,2015-01-interfax.ru_3417
6,2015-01-svpressa.ru_1054,2015-01-polit.ru_1891,2015-01-rusplt.ru_13023,2015-01-ria.ru_2748,2015-01-segodnia.ru_497,2015-01-ruscur.ru_50,2015-01-itar-tass.com_7926,2015-01-rus.newsru.ua_565,2015-01-ria.ru_1616,2015-01-rbc.ru_5801
7,2015-01-svpressa.ru_8,2015-01-rus.newsru.ua_154,2015-01-itar-tass.com_10232,2015-01-ria.ru_7579,2015-01-segodnia.ru_494,2015-01-ruscur.ru_40,2015-01-itar-tass.com_6553,2015-01-rus.newsru.ua_288,2015-01-ria.ru_162,2015-01-fontanka.ru_3016
8,2015-01-inosmi.ru_268,2015-01-ruscur.ru_245,2015-01-rtr-vesti.ru_5616,2015-01-ria.ru_6087,2015-01-segodnia.ru_492,2015-01-ruscur.ru_31,2015-01-gazeta.ru_1105,2015-01-newsru.com_69,2015-01-ria.ru_163,2015-01-rbc.ru_4817
9,2015-01-topwar.ru_1169,2015-01-ruscur.ru_54,2015-01-rusplt.ru_797,2015-01-ria.ru_5138,2015-01-segodnia.ru_1207,2015-01-ruscur.ru_35,2015-01-ria.ru_173,2015-01-rus.newsru.ua_91,2015-01-ria.ru_164,2015-01-rbc.ru_5066
10,2015-01-oko-planet.su_2663,2015-01-charter97.org_449,2015-01-oko-planet.su_2761,2015-01-rbc.ru_2838,2015-01-segodnia.ru_1208,2015-01-interfax.ru_451,2015-01-gazeta.ru_3455,2015-01-rus.newsru.ua_1902,2015-01-ria.ru_1642,2015-01-rbc.ru_5335
